"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/01/2015","01/01/2015","Forecast","ALB",31,18,23,15
"01/01/2015","01/01/2015","Forecast","ART",32,24,28,21
"01/01/2015","01/01/2015","Forecast","BGM",27,15,21,12
"01/01/2015","01/01/2015","Forecast","BUF",30,21,26,18
"01/01/2015","01/01/2015","Forecast","ELM",32,16,24,13
"01/01/2015","01/01/2015","Forecast","HPN",34,22,26,18
"01/01/2015","01/01/2015","Forecast","ISP",38,23,29,19
"01/01/2015","01/01/2015","Forecast","JFK",39,27,31,22
"01/01/2015","01/01/2015","Forecast","LGA",37,26,29,21
"01/01/2015","01/01/2015","Forecast","MSS",27,17,24,15
"01/01/2015","01/01/2015","Forecast","MSV",30,17,23,14
"01/01/2015","01/01/2015","Forecast","PLB",27,17,23,14
"01/01/2015","01/01/2015","Forecast","POU",34,19,25,15
"01/01/2015","01/01/2015","Forecast","ROC",30,19,26,17
"01/01/2015","01/01/2015","Forecast","SWF",32,20,24,16
"01/01/2015","01/01/2015","Forecast","SYR",29,20,25,18
"01/01/2015","01/01/2015","Forecast","UCA",27,17,22,15
"01/01/2015","01/02/2015","Forecast","ALB",35,23,28,19
"01/01/2015","01/02/2015","Forecast","ART",31,21,28,18
"01/01/2015","01/02/2015","Forecast","BGM",31,22,26,19
"01/01/2015","01/02/2015","Forecast","BUF",31,24,27,22
"01/01/2015","01/02/2015","Forecast","ELM",36,24,30,22
"01/01/2015","01/02/2015","Forecast","HPN",39,27,31,23
"01/01/2015","01/02/2015","Forecast","ISP",41,29,33,26
"01/01/2015","01/02/2015","Forecast","JFK",42,31,34,27
"01/01/2015","01/02/2015","Forecast","LGA",41,32,32,27
"01/01/2015","01/02/2015","Forecast","MSS",25,13,23,11
"01/01/2015","01/02/2015","Forecast","MSV",34,22,27,19
"01/01/2015","01/02/2015","Forecast","PLB",26,15,23,12
"01/01/2015","01/02/2015","Forecast","POU",39,23,31,20
"01/01/2015","01/02/2015","Forecast","ROC",34,25,28,22
"01/01/2015","01/02/2015","Forecast","SWF",37,24,30,22
"01/01/2015","01/02/2015","Forecast","SYR",29,25,26,23
"01/01/2015","01/02/2015","Forecast","UCA",29,23,25,21
"01/01/2015","12/29/2014","Actual","ALB",37,25,32,21
"01/01/2015","12/29/2014","Actual","ART",34,21,30,19
"01/01/2015","12/29/2014","Actual","BGM",29,22,27,20
"01/01/2015","12/29/2014","Actual","BUF",30,25,27,21
"01/01/2015","12/29/2014","Actual","ELM",34,23,30,22
